id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,variable_orden,variable_ingles,comparacion_por,comparacion_por_orden,pais,pais2,indicador,detalle_indicador,disclaimer
ARG_ERCE13-192013,"Total, matemática",ARG_ERCE13-19,(T)ERCE 2013 comparable a ERCE 2019,2013,.987011730670929,1,1,1,"Total, matemática",1,Argentina,Argentina (ERCE13-19),Ratio de puntajes en pruebas estandarizadas para alumnos de sexto grado,Ratio de puntajes en pruebas estandarizadas entre niñas y niños de tercer grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG_ERCE13-192013,"Hogares baja calificación, matemática",ARG_ERCE13-19,(T)ERCE 2013 comparable a ERCE 2019,2013,.9796578288078308,2,2,2,"Calificación, matemática",2,Argentina,Argentina (ERCE13-19),Ratio de puntajes en pruebas estandarizadas para alumnos de sexto grado,Ratio de puntajes en pruebas estandarizadas entre niñas y niños de tercer grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG_ERCE13-192013,"Hogares media calificación, matemática",ARG_ERCE13-19,(T)ERCE 2013 comparable a ERCE 2019,2013,.9769319891929626,3,3,3,"Calificación, matemática",2,Argentina,Argentina (ERCE13-19),Ratio de puntajes en pruebas estandarizadas para alumnos de sexto grado,Ratio de puntajes en pruebas estandarizadas entre niñas y niños de tercer grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG_ERCE13-192013,"Hogares alta calificación, matemática",ARG_ERCE13-19,(T)ERCE 2013 comparable a ERCE 2019,2013,1.006450414657593,4,4,4,"Calificación, matemática",2,Argentina,Argentina (ERCE13-19),Ratio de puntajes en pruebas estandarizadas para alumnos de sexto grado,Ratio de puntajes en pruebas estandarizadas entre niñas y niños de tercer grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG_ERCE13-192013,"Total, lectura",ARG_ERCE13-19,(T)ERCE 2013 comparable a ERCE 2019,2013,1.037820339202881,5,5,5,"Total, lectura",3,Argentina,Argentina (ERCE13-19),Ratio de puntajes en pruebas estandarizadas para alumnos de sexto grado,Ratio de puntajes en pruebas estandarizadas entre niñas y niños de tercer grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG_ERCE13-192013,"Hogares baja calificación, lectura",ARG_ERCE13-19,(T)ERCE 2013 comparable a ERCE 2019,2013,1.03835129737854,6,6,6,"Calificación, lectura",4,Argentina,Argentina (ERCE13-19),Ratio de puntajes en pruebas estandarizadas para alumnos de sexto grado,Ratio de puntajes en pruebas estandarizadas entre niñas y niños de tercer grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG_ERCE13-192013,"Hogares media calificación, lectura",ARG_ERCE13-19,(T)ERCE 2013 comparable a ERCE 2019,2013,1.032972931861877,7,7,7,"Calificación, lectura",4,Argentina,Argentina (ERCE13-19),Ratio de puntajes en pruebas estandarizadas para alumnos de sexto grado,Ratio de puntajes en pruebas estandarizadas entre niñas y niños de tercer grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG_ERCE13-192013,"Hogares alta calificación, lectura",ARG_ERCE13-19,(T)ERCE 2013 comparable a ERCE 2019,2013,1.05289888381958,8,8,8,"Calificación, lectura",4,Argentina,Argentina (ERCE13-19),Ratio de puntajes en pruebas estandarizadas para alumnos de sexto grado,Ratio de puntajes en pruebas estandarizadas entre niñas y niños de tercer grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG_ERCE13-192013,"Total, ciencia",ARG_ERCE13-19,(T)ERCE 2013 comparable a ERCE 2019,2013,1.012189984321594,9,9,9,"Total, ciencia",5,Argentina,Argentina (ERCE13-19),Ratio de puntajes en pruebas estandarizadas para alumnos de sexto grado,Ratio de puntajes en pruebas estandarizadas entre niñas y niños de tercer grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG_ERCE13-192013,"Hogares baja calificación, ciencia",ARG_ERCE13-19,(T)ERCE 2013 comparable a ERCE 2019,2013,1.014049530029297,10,10,10,"Calificación, ciencia",6,Argentina,Argentina (ERCE13-19),Ratio de puntajes en pruebas estandarizadas para alumnos de sexto grado,Ratio de puntajes en pruebas estandarizadas entre niñas y niños de tercer grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
