id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,variable_orden,variable_ingles,comparacion_por,comparacion_por_orden,pais,indicador,detalle_indicador,disclaimer
BRA2013,"Hogares media calificación, matemática",BRA,(T)ERCE,2013,1.001839876174927,3,3,3,"Calificación, matemática",2,Brasil,Ratio de puntajes en pruebas estandarizadas para alumnos de tercer grado,Ratio de puntajes en pruebas estandarizadas entre niñas y niños de tercer grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BRA2013,"Hogares alta calificación, matemática",BRA,(T)ERCE,2013,1.02296793460846,4,4,4,"Calificación, matemática",2,Brasil,Ratio de puntajes en pruebas estandarizadas para alumnos de tercer grado,Ratio de puntajes en pruebas estandarizadas entre niñas y niños de tercer grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BRA2013,"Total, lectura",BRA,(T)ERCE,2013,1.025511503219605,5,5,5,"Total, lectura",3,Brasil,Ratio de puntajes en pruebas estandarizadas para alumnos de tercer grado,Ratio de puntajes en pruebas estandarizadas entre niñas y niños de tercer grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BRA2013,"Hogares baja calificación, lectura",BRA,(T)ERCE,2013,1.036323189735413,6,6,6,"Calificación, lectura",4,Brasil,Ratio de puntajes en pruebas estandarizadas para alumnos de tercer grado,Ratio de puntajes en pruebas estandarizadas entre niñas y niños de tercer grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BRA2013,"Hogares media calificación, lectura",BRA,(T)ERCE,2013,1.009296536445618,7,7,7,"Calificación, lectura",4,Brasil,Ratio de puntajes en pruebas estandarizadas para alumnos de tercer grado,Ratio de puntajes en pruebas estandarizadas entre niñas y niños de tercer grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BRA2013,"Hogares alta calificación, lectura",BRA,(T)ERCE,2013,1.032528281211853,8,8,8,"Calificación, lectura",4,Brasil,Ratio de puntajes en pruebas estandarizadas para alumnos de tercer grado,Ratio de puntajes en pruebas estandarizadas entre niñas y niños de tercer grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CHL2006,"Total, matemática",CHL,(S)ERCE,2006,.9750931859016419,1,1,1,"Total, matemática",1,Chile,Ratio de puntajes en pruebas estandarizadas para alumnos de tercer grado,Ratio de puntajes en pruebas estandarizadas entre niñas y niños de tercer grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CHL2006,"Hogares baja calificación, matemática",CHL,(S)ERCE,2006,.985241174697876,2,2,2,"Calificación, matemática",2,Chile,Ratio de puntajes en pruebas estandarizadas para alumnos de tercer grado,Ratio de puntajes en pruebas estandarizadas entre niñas y niños de tercer grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CHL2006,"Hogares media calificación, matemática",CHL,(S)ERCE,2006,.9713261127471924,3,3,3,"Calificación, matemática",2,Chile,Ratio de puntajes en pruebas estandarizadas para alumnos de tercer grado,Ratio de puntajes en pruebas estandarizadas entre niñas y niños de tercer grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CHL2006,"Hogares alta calificación, matemática",CHL,(S)ERCE,2006,.962980329990387,4,4,4,"Calificación, matemática",2,Chile,Ratio de puntajes en pruebas estandarizadas para alumnos de tercer grado,Ratio de puntajes en pruebas estandarizadas entre niñas y niños de tercer grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CHL2006,"Total, lectura",CHL,(S)ERCE,2006,1.004382252693176,5,5,5,"Total, lectura",3,Chile,Ratio de puntajes en pruebas estandarizadas para alumnos de tercer grado,Ratio de puntajes en pruebas estandarizadas entre niñas y niños de tercer grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CHL2006,"Hogares baja calificación, lectura",CHL,(S)ERCE,2006,1.007506489753723,6,6,6,"Calificación, lectura",4,Chile,Ratio de puntajes en pruebas estandarizadas para alumnos de tercer grado,Ratio de puntajes en pruebas estandarizadas entre niñas y niños de tercer grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CHL2006,"Hogares media calificación, lectura",CHL,(S)ERCE,2006,1.007252931594849,7,7,7,"Calificación, lectura",4,Chile,Ratio de puntajes en pruebas estandarizadas para alumnos de tercer grado,Ratio de puntajes en pruebas estandarizadas entre niñas y niños de tercer grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CHL2006,"Hogares alta calificación, lectura",CHL,(S)ERCE,2006,.9956418871879578,8,8,8,"Calificación, lectura",4,Chile,Ratio de puntajes en pruebas estandarizadas para alumnos de tercer grado,Ratio de puntajes en pruebas estandarizadas entre niñas y niños de tercer grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CHL2013,"Total, matemática",CHL,(T)ERCE,2013,.9976292848587036,1,1,1,"Total, matemática",1,Chile,Ratio de puntajes en pruebas estandarizadas para alumnos de tercer grado,Ratio de puntajes en pruebas estandarizadas entre niñas y niños de tercer grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CHL2013,"Hogares baja calificación, matemática",CHL,(T)ERCE,2013,1.000552535057068,2,2,2,"Calificación, matemática",2,Chile,Ratio de puntajes en pruebas estandarizadas para alumnos de tercer grado,Ratio de puntajes en pruebas estandarizadas entre niñas y niños de tercer grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CHL2013,"Hogares media calificación, matemática",CHL,(T)ERCE,2013,1.003600835800171,3,3,3,"Calificación, matemática",2,Chile,Ratio de puntajes en pruebas estandarizadas para alumnos de tercer grado,Ratio de puntajes en pruebas estandarizadas entre niñas y niños de tercer grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CHL2013,"Hogares alta calificación, matemática",CHL,(T)ERCE,2013,.9964779615402222,4,4,4,"Calificación, matemática",2,Chile,Ratio de puntajes en pruebas estandarizadas para alumnos de tercer grado,Ratio de puntajes en pruebas estandarizadas entre niñas y niños de tercer grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CHL2013,"Total, lectura",CHL,(T)ERCE,2013,1.016952037811279,5,5,5,"Total, lectura",3,Chile,Ratio de puntajes en pruebas estandarizadas para alumnos de tercer grado,Ratio de puntajes en pruebas estandarizadas entre niñas y niños de tercer grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CHL2013,"Hogares baja calificación, lectura",CHL,(T)ERCE,2013,1.018894910812378,6,6,6,"Calificación, lectura",4,Chile,Ratio de puntajes en pruebas estandarizadas para alumnos de tercer grado,Ratio de puntajes en pruebas estandarizadas entre niñas y niños de tercer grado.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
